,Videos,ActualCars,ModelCountCars,conf_thres,diff,error
0,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200509_161540.mp4,427,413,0.85,14,0.03278688524590164
21,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200804_161505.mp4,657,639,0.85,18,0.0273972602739726
20,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200801_161505.mp4,738,740,0.85,2,0.0027100271002710027
19,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200729_161519.mp4,779,777,0.85,2,0.0025673940949935813
18,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200726_161509.mp4,710,712,0.85,2,0.0028169014084507044
17,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200723_161518.mp4,771,771,0.85,0,0.0
16,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200720_161556.mp4,774,751,0.85,23,0.029715762273901807
15,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200717_161614.mp4,889,844,0.85,45,0.05061867266591676
14,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200714_161511.mp4,782,762,0.85,20,0.02557544757033248
13,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200708_161553.mp4,791,758,0.85,33,0.041719342604298354
12,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200705_161518.mp4,773,750,0.85,23,0.029754204398447608
11,D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200620_161507.mp4,901,874,0.85,27,0.029966703662597113
10,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200617_161508.mp4,815,886,0.85,71,0.08711656441717791
9,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200614_161517.mp4,695,659,0.85,36,0.051798561151079135
8,D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200611_161534.mp4,908,899,0.85,9,0.009911894273127754
7,D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200605_161506.mp4,776,767,0.85,9,0.011597938144329897
6,D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200602_161933.mp4,696,682,0.85,14,0.020114942528735632
5,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200530_161507.mp4,596,595,0.85,1,0.0016778523489932886
4,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200521_161542.mp4,572,522,0.85,50,0.08741258741258741
3,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200518_161529.mp4,497,496,0.85,1,0.002012072434607646
2,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200515_161547.mp4,486,371,0.85,115,0.2366255144032922
1,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200512_161525.mp4,413,404,0.85,9,0.021791767554479417
22,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200810_161501.mp4,687,704,0.85,17,0.024745269286754003
23,D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200816_161502.mp4,512,511,0.85,1,0.001953125
