video,car count,conf_thres,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,480,0.99,,Difference,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,479,0.991,,1,B2-B3,Human Count 352
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,482,0.992,,-3,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,479,0.993,,3,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,480,0.994,,-1,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,466,0.995,,14,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,460,0.996,,6,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,444,0.997,,16,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,420,0.998,,24,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,341,0.999,,79,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,331,0.9991,,10,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,312,0.9992,,19,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,293,0.9993,,19,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,266,0.9994,,27,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,239,0.9995,,27,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,200,0.9996,,39,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,134,0.9997,,66,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,57,0.9998,,77,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,6,0.9999,,51,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,417,0.9981,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,408,0.9982,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,400,0.9983,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,394,0.9984,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,389,0.9985,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,383,0.9986,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,377,0.9987,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,368,0.9988,,,,
D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529_crop.mp4,354,0.9989,,,,
