Videos,Actual,Model Count,conf_thres
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,386,499,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,439,576,0.9986
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,540,600,0.9986
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,588,468,0.9986
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,703,954,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,593,630,0.9986
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,705,740,0.9986
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,386,497,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,439,569,0.9987
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,540,591,0.9987
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,588,456,0.9987
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,703,938,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,593,625,0.9987
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,705,728,0.9987
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,496,499,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,552,576,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,579,600,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,440,468,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,918,954,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,607,630,0.9988
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,711,740,0.9988
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,486,497,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,544,569,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,565,591,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,423,456,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,885,938,0.9989
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,600,625,0.9989
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,692,728,0.9989
