Videos,ActualCars,ModelCountCars,conf_thres
D:\Ivan\Test_data\Katipunan\test\VID_20200521_161542_crop.mp4,386,499,0.9986
D:\Ivan\Test_data\Katipunan\test\VID_20200530_161507_crop.mp4,439,576,0.9986
D:\Ivan\Test_data\Katipunan\test\VID_20200602_161933_crop.mp4,540,600,0.9986
D:\Ivan\Test_data\Katipunan\test\VID_20200605_161506_crop.mp4,588,468,0.9986
D:\Ivan\Test_data\Katipunan\test\VID_20200611_161534_crop.mp4,703,954,0.9986
D:\Ivan\Test_data\Katipunan\test\VID_20200614_161517_crop.mp4,593,630,0.9986
D:\Ivan\Test_data\Katipunan\test\VID_20200620_161507_crop.mp4,705,740,0.9986
D:\Ivan\Test_data\Katipunan\test\VID_20200521_161542_crop.mp4,386,497,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200530_161507_crop.mp4,439,569,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200602_161933_crop.mp4,540,591,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200605_161506_crop.mp4,588,456,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200611_161534_crop.mp4,703,938,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200614_161517_crop.mp4,593,625,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200620_161507_crop.mp4,705,728,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200521_161542_crop.mp4,496,499,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200530_161507_crop.mp4,552,576,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200602_161933_crop.mp4,579,600,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200605_161506_crop.mp4,440,468,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200611_161534_crop.mp4,918,954,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200614_161517_crop.mp4,607,630,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200620_161507_crop.mp4,711,740,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200521_161542_crop.mp4,486,497,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200530_161507_crop.mp4,544,569,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200602_161933_crop.mp4,565,591,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200605_161506_crop.mp4,423,456,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200611_161534_crop.mp4,885,938,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200614_161517_crop.mp4,600,625,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200620_161507_crop.mp4,692,728,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200705_161518_crop.mp4,677,746,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200708_161553_crop.mp4,594,702,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200711_161516_crop.mp4,618,717,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200714_161511_crop.mp4,602,410,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200717_161614_crop.mp4,674,433,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200720_161556_crop.mp4,598,591,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200723_161518_crop.mp4,614,639,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200726_161509_crop.mp4,633,713,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200729_161519_crop.mp4,612,574,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200801_161505_crop.mp4,577,631,0.9989
D:\Ivan\Test_data\Katipunan\test\VID_20200705_161518_crop.mp4,677,753,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200708_161553_crop.mp4,594,712,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200711_161516_crop.mp4,618,727,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200714_161511_crop.mp4,602,427,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200717_161614_crop.mp4,674,461,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200720_161556_crop.mp4,598,600,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200723_161518_crop.mp4,614,647,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200726_161509_crop.mp4,633,729,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200729_161519_crop.mp4,612,586,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200801_161505_crop.mp4,577,643,0.9988
D:\Ivan\Test_data\Katipunan\test\VID_20200705_161518_crop.mp4,677,758,0.9987
D:\Ivan\Test_data\Katipunan\test\VID_20200708_161553_crop.mp4,594,716,0.9987
