,Videos,ActualCars,ModelCountCars,conf_thres,precision,diff
0,D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540.mp4,415,427,0.75,0.9718969555035128,12
17,D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509.mp4,738,710,0.75,1.0394366197183098,28
16,D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518.mp4,798,771,0.75,1.0350194552529184,27
15,D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556.mp4,794,774,0.75,1.0258397932816536,20
14,D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614.mp4,834,889,0.75,0.9381327334083239,55
13,D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511.mp4,793,782,0.75,1.014066496163683,11
12,D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553.mp4,830,791,0.75,1.0493046776232617,39
11,D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518.mp4,777,773,0.75,1.0051746442432083,4
10,D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507.mp4,912,901,0.75,1.0122086570477247,11
9,D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508.mp4,1214,815,0.75,1.4895705521472393,399
8,D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517.mp4,673,695,0.75,0.9683453237410072,22
7,D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534.mp4,927,908,0.75,1.0209251101321586,19
6,D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506.mp4,795,779,0.75,1.0205391527599486,16
5,D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507.mp4,611,596,0.75,1.0251677852348993,15
4,D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542.mp4,571,572,0.75,0.9982517482517482,1
3,D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529.mp4,483,497,0.75,0.971830985915493,14
2,D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547.mp4,402,486,0.75,0.8271604938271605,84
1,D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525.mp4,436,413,0.75,1.055690072639225,23
18,D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519.mp4,786,779,0.75,1.0089858793324775,7
19,D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505.mp4,761,738,0.75,1.0311653116531165,23
