,Videos,ActualCars,ModelCountCars,conf_thres,diff,error
0,D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540.mp4,415,427,0.75,12,0.02891566265060241
17,D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509.mp4,738,710,0.75,28,0.037940379403794036
16,D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518.mp4,798,771,0.75,27,0.03383458646616541
15,D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556.mp4,794,774,0.75,20,0.02518891687657431
14,D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614.mp4,834,889,0.75,55,0.06594724220623502
13,D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511.mp4,793,782,0.75,11,0.013871374527112233
12,D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553.mp4,830,791,0.75,39,0.046987951807228916
11,D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518.mp4,777,773,0.75,4,0.005148005148005148
10,D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507.mp4,912,901,0.75,11,0.01206140350877193
9,D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508.mp4,1214,815,0.75,399,0.328665568369028
8,D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517.mp4,673,695,0.75,22,0.03268945022288262
7,D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534.mp4,927,908,0.75,19,0.020496224379719527
6,D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506.mp4,795,779,0.75,16,0.02012578616352201
5,D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507.mp4,611,596,0.75,15,0.024549918166939442
4,D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542.mp4,571,572,0.75,1,0.0017513134851138354
3,D:\Ivan\Test_data\Katipunan\test/VID_20200518_161529.mp4,483,497,0.75,14,0.028985507246376812
2,D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547.mp4,402,486,0.75,84,0.208955223880597
1,D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525.mp4,436,413,0.75,23,0.052752293577981654
18,D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519.mp4,786,779,0.75,7,0.008905852417302799
19,D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505.mp4,761,738,0.75,23,0.030223390275952694
