,epoch,precision,recall,AP,F1
0,0,0.118781543,0.655721393,0.220554617,0.201129254
1,1,0.200134998,0.590049751,0.187845047,0.298891129
2,2,0.093298292,0.494527363,0.233553205,0.156980417
3,3,0.239746582,0.715422886,0.486607312,0.359140859
4,4,0.14178651,0.696517413,0.28206823,0.235610905
5,5,0.049360146,0.564179104,0.066231816,0.090778098
6,6,0.218056389,0.723383085,0.378704311,0.335100254
7,7,0.077188443,0.534328358,0.054537992,0.134890731
8,8,0.093879738,0.697512438,0.136465077,0.165486308
9,9,0.170640177,0.769154229,0.36990909,0.27931346
10,10,0.065616456,0.501492537,0.033327072,0.116048814
11,11,0.26940133,0.725373134,0.374307781,0.392886015
12,12,0.080188679,0.575124378,0.185920344,0.140752466
13,13,0.120683986,0.730348259,0.411059862,0.207139833
14,14,0.195986203,0.621890547,0.307845655,0.298044826
15,15,0.207423006,0.784079602,0.468086194,0.32805995
16,16,0.126526892,0.690547264,0.135114669,0.213867488
17,17,0.099467638,0.706467662,0.107937567,0.174382906
18,18,0.152319265,0.725373134,0.185598426,0.251769988
19,19,0.459797499,0.768159204,0.591756993,0.575260805
20,20,0.178636456,0.878606965,0.660655721,0.296906523
21,21,0.238125396,0.748258706,0.413816274,0.361277925
22,22,0.146324054,0.815920398,0.388224443,0.248146467
23,23,0.155154091,0.726368159,0.34483405,0.255691769
24,24,0.173299642,0.818905473,0.479341856,0.28606187
25,25,0.184168013,0.794029851,0.648923794,0.298988385
26,26,0.381740776,0.802985075,0.662969583,0.517473549
27,27,0.192262876,0.820895522,0.440418066,0.311555891
28,28,0.215529753,0.886567164,0.59970693,0.34676007
29,29,0.421790723,0.778109453,0.663622769,0.547044421
30,30,0.191056911,0.841791045,0.507599518,0.311430149
31,31,0.461286805,0.841791045,0.772097805,0.595984502
32,32,0.315597668,0.861691542,0.711185565,0.461989864
33,33,0.318329132,0.87960199,0.688687567,0.467477525
34,34,0.12816405,0.7960199,0.410883192,0.220781013
35,35,0.315598987,0.867661692,0.731769837,0.462845011
36,36,0.334664537,0.833830846,0.678716106,0.477628954
37,37,0.337226827,0.890547264,0.688917177,0.489204701
38,38,0.175313059,0.487562189,0.158225438,0.257894737
39,39,0.317642698,0.852736318,0.694982969,0.462867945
40,40,0.137653181,0.815920398,0.571945291,0.235564493
41,41,0.285392535,0.882587065,0.72978834,0.431315342
42,42,0.186909263,0.787064677,0.474418225,0.302081344
43,43,0.229072548,0.857711443,0.737313428,0.361577181
44,44,0.464893617,0.869651741,0.68095955,0.605892548
45,45,0.43760218,0.799004975,0.640038234,0.565492958
46,46,0.25029976,0.830845771,0.538139902,0.384703985
47,47,0.290175667,0.887562189,0.686474213,0.437362099
48,48,0.341554559,0.909452736,0.72845073,0.496604184
49,49,0.183311258,0.688557214,0.373970501,0.289539749
50,50,0.282348677,0.775124378,0.486700885,0.41392136
51,51,0.264172998,0.899502488,0.766635646,0.408402982
