,epoch,precision,recall,AP,F1
0,0,0.416149068,0.733041575,0.466844103,0.530903328
1,1,0.413586414,0.905908096,0.860687701,0.567901235
2,2,0.634028892,0.864332604,0.805392058,0.731481481
3,3,0.452145215,0.899343545,0.807039042,0.601756955
4,4,0.534615385,0.912472648,0.792572676,0.674211803
5,5,0.623167155,0.929978118,0.864359143,0.746268657
6,6,0.573351279,0.932166302,0.88936923,0.71
7,7,0.768807339,0.916849015,0.878774362,0.836327345
8,8,0.475555556,0.93654267,0.768134242,0.630803242
9,9,0.7858473,0.923413567,0.901452553,0.849094567
10,10,0.712854758,0.934354486,0.908541035,0.808712121
11,11,0.518742443,0.938730853,0.862762475,0.668224299
12,12,0.47655398,0.956236324,0.868172483,0.636098981
13,13,0.626647145,0.93654267,0.865364337,0.750877193
14,14,0.729131175,0.93654267,0.921879777,0.819923372
15,15,0.681962025,0.943107221,0.9255782,0.791551882
16,16,0.854870775,0.940919037,0.930448541,0.895833333
17,17,0.824196597,0.95404814,0.944751161,0.884381339
18,18,0.696,0.951859956,0.902259089,0.804066543
19,19,0.602209945,0.95404814,0.924437877,0.738357324
20,20,0.593451569,0.951859956,0.885159909,0.731092437
21,21,0.720067454,0.934354486,0.888445001,0.813333333
22,22,0.694174757,0.938730853,0.886456972,0.798139535
23,23,0.74742268,0.951859956,0.926598751,0.8373436
24,24,0.869215292,0.945295405,0.931961889,0.905660377
25,25,0.632564841,0.960612691,0.914987211,0.762814944
26,26,0.610497238,0.967177243,0.945988889,0.748518205
27,27,0.787658802,0.949671772,0.939055748,0.861111111
28,28,0.765323993,0.956236324,0.933410397,0.850194553
29,29,0.34399376,0.964989059,0.759780936,0.507188039
30,30,0.789189189,0.958424508,0.923260077,0.865612648
31,31,0.808471455,0.960612691,0.936686985,0.878
32,32,0.772727273,0.967177243,0.945539018,0.859086492
33,33,0.680061824,0.962800875,0.90672773,0.797101449
34,34,0.766956522,0.964989059,0.920339501,0.854651163
35,35,0.675757576,0.975929978,0.95622546,0.798567592
36,36,0.786096257,0.964989059,0.949335793,0.866404715
37,37,0.758091993,0.973741794,0.93657147,0.852490421
38,38,0.634807418,0.973741794,0.926394204,0.768566494
39,39,0.820560748,0.960612691,0.927717937,0.885080645
40,40,0.854901961,0.95404814,0.941276772,0.901758014
41,41,0.66119403,0.969365427,0.903845907,0.786157941
42,42,0.655274889,0.964989059,0.92332137,0.780530973
43,43,0.774475524,0.969365427,0.947371656,0.861030126
44,44,0.721044046,0.967177243,0.923613974,0.826168224
45,45,0.80615942,0.973741794,0.948716914,0.882061447
46,46,0.775221239,0.958424508,0.935780924,0.857142857
47,47,0.708598726,0.973741794,0.943377486,0.820276498
48,48,0.694835681,0.971553611,0.931527569,0.810218978
49,49,0.81682243,0.956236324,0.93490961,0.881048387
50,50,0.788908766,0.964989059,0.932481866,0.868110236
51,51,0.839694656,0.962800875,0.933173617,0.897043833
52,52,0.57457847,0.969365427,0.892692934,0.721498371
53,53,0.738255034,0.962800875,0.946742038,0.835707502
54,54,0.814338235,0.969365427,0.954389055,0.885114885
55,55,0.739495798,0.962800875,0.928395831,0.836501901
56,56,0.68412943,0.971553611,0.923095173,0.802893309
57,57,0.826415094,0.958424508,0.935493113,0.887537994
58,58,0.696540881,0.969365427,0.923202499,0.810612992
59,59,0.817343173,0.969365427,0.939788774,0.886886887
60,60,0.808823529,0.962800875,0.935942574,0.879120879
61,61,0.882828283,0.956236324,0.941371521,0.918067227
62,62,0.789189189,0.958424508,0.934640583,0.865612648
63,63,0.887550201,0.967177243,0.951909233,0.92565445
64,64,0.894949495,0.969365427,0.954530213,0.930672269
65,65,0.872,0.95404814,0.937234826,0.911180773
66,66,0.808743169,0.971553611,0.951496452,0.882703777
67,67,0.891129032,0.967177243,0.950441476,0.927597062
68,68,0.857142857,0.958424508,0.943642608,0.904958678
69,69,0.886,0.969365427,0.953973009,0.925809822
70,70,0.861328125,0.964989059,0.951016342,0.910216718
71,71,0.797127469,0.971553611,0.936029395,0.875739645
72,72,0.849710983,0.964989059,0.948741981,0.903688525
73,73,0.847328244,0.971553611,0.95435141,0.905198777
74,74,0.769633508,0.964989059,0.935596823,0.85631068
75,75,0.775043937,0.964989059,0.890483906,0.859649123
76,76,0.792792793,0.962800875,0.938303382,0.869565217
77,77,0.923890063,0.956236324,0.94224496,0.939784946
78,78,0.755517827,0.973741794,0.93935266,0.850860421
79,79,0.86328125,0.967177243,0.942934419,0.912280702
80,80,0.901234568,0.958424508,0.944071152,0.928950159
81,81,0.894736842,0.967177243,0.948212993,0.929547844
82,82,0.747884941,0.967177243,0.927714608,0.84351145
83,83,0.836158192,0.971553611,0.946401177,0.898785425
84,84,0.865497076,0.971553611,0.950973292,0.915463918
85,85,0.810661765,0.964989059,0.917062017,0.881118881
86,86,0.794275492,0.971553611,0.943173692,0.874015748
87,87,0.831739962,0.951859956,0.936746181,0.887755102
88,88,0.82739212,0.964989059,0.93818794,0.890909091
89,89,0.789661319,0.969365427,0.936517157,0.870333988
90,90,0.849420849,0.962800875,0.926980512,0.902564103
91,91,0.881188119,0.973741794,0.951656445,0.925155925
92,92,0.812844037,0.969365427,0.945224874,0.884231537
93,93,0.85106383,0.962800875,0.94265699,0.90349076
94,94,0.907407407,0.964989059,0.953854665,0.935312831
95,95,0.844106464,0.971553611,0.944269365,0.90335707
96,96,0.830540037,0.975929978,0.945827126,0.897384306
97,97,0.848948375,0.971553611,0.944052575,0.906122449
98,98,0.883767535,0.964989059,0.943136098,0.922594142
99,99,0.806921676,0.969365427,0.9378019,0.880715706
100,100,0.894736842,0.967177243,0.954316102,0.929547844
101,101,0.818518519,0.967177243,0.938321549,0.88665998
102,102,0.905544148,0.964989059,0.954909777,0.934322034
103,103,0.901234568,0.958424508,0.939019781,0.928950159
104,104,0.844827586,0.964989059,0.935078499,0.900919305
105,105,0.737458194,0.964989059,0.940672236,0.836018957
106,106,0.864705882,0.964989059,0.926099638,0.912099276
107,107,0.869565217,0.962800875,0.940018819,0.913811007
108,108,0.879275654,0.956236324,0.932078542,0.916142558
109,109,0.903688525,0.964989059,0.952138168,0.933333333
110,110,0.863547758,0.969365427,0.927589578,0.913402062
111,111,0.903688525,0.964989059,0.944977632,0.933333333
112,112,0.874751491,0.962800875,0.946242488,0.916666667
113,113,0.769230769,0.962800875,0.911661924,0.855199223
114,114,0.894523327,0.964989059,0.939761024,0.928421053
115,115,0.935344828,0.949671772,0.935418848,0.942453855
116,116,0.881526104,0.960612691,0.938228405,0.919371728
117,117,0.909650924,0.969365427,0.949439628,0.938559322
118,118,0.861328125,0.964989059,0.935182543,0.910216718
119,119,0.746218487,0.971553611,0.899382087,0.844106464
120,120,0.864970646,0.967177243,0.945222452,0.91322314
121,121,0.84180791,0.978118162,0.944628484,0.9048583
122,122,0.883299799,0.960612691,0.945726665,0.92033543
123,123,0.861056751,0.962800875,0.933327582,0.909090909
124,124,0.889112903,0.964989059,0.947055045,0.925498426
125,125,0.858527132,0.969365427,0.933361355,0.910585817
126,126,0.900406504,0.969365427,0.943717763,0.933614331
127,127,0.854932302,0.967177243,0.936461839,0.907597536
128,128,0.926624738,0.967177243,0.949403377,0.946466809
129,129,0.852427184,0.960612691,0.943664556,0.903292181
130,130,0.922268908,0.960612691,0.946657352,0.941050375
131,131,0.889112903,0.964989059,0.935522473,0.925498426
132,132,0.9,0.964989059,0.941053535,0.931362196
133,133,0.922268908,0.960612691,0.943984653,0.941050375
134,134,0.936034115,0.960612691,0.94929281,0.948164147
135,135,0.824528302,0.956236324,0.921759817,0.885511651
136,136,0.908713693,0.958424508,0.931595919,0.932907348
137,137,0.911340206,0.967177243,0.955108298,0.938428875
138,138,0.909465021,0.967177243,0.954922341,0.937433722
139,139,0.926315789,0.962800875,0.951715606,0.944206009
140,140,0.85,0.967177243,0.950206764,0.904810645
141,141,0.882235529,0.967177243,0.9534552,0.922755741
142,142,0.924210526,0.960612691,0.949467881,0.942060086
143,143,0.880239521,0.964989059,0.945360199,0.920668058
144,144,0.917894737,0.95404814,0.943973229,0.935622318
145,145,0.866666667,0.967177243,0.931605984,0.914167528
146,146,0.899383984,0.958424508,0.942526902,0.927966102
147,147,0.869306931,0.960612691,0.94196783,0.912681913
148,148,0.927966102,0.958424508,0.948186088,0.942949408
149,149,0.939914163,0.958424508,0.941123334,0.94907909
150,150,0.885542169,0.964989059,0.944758762,0.923560209
151,151,0.864970646,0.967177243,0.948437793,0.91322314
152,152,0.930232558,0.962800875,0.954144893,0.946236559
153,153,0.935483871,0.951859956,0.945019764,0.943600868
154,154,0.918238994,0.958424508,0.947511384,0.937901499
155,155,0.927659574,0.95404814,0.941699466,0.940668824
156,156,0.900826446,0.95404814,0.935633865,0.926673751
157,157,0.869306931,0.960612691,0.93854728,0.912681913
158,158,0.910973085,0.962800875,0.948151577,0.936170213
159,159,0.845857418,0.960612691,0.927586939,0.899590164
160,160,0.931769723,0.956236324,0.943919702,0.943844492
161,161,0.890466531,0.960612691,0.944640528,0.924210526
162,162,0.856866538,0.969365427,0.945317663,0.909650924
163,163,0.857421875,0.960612691,0.916765289,0.906088751
164,164,0.872763419,0.960612691,0.933348823,0.914583333
165,165,0.867588933,0.960612691,0.938218068,0.911734164
166,166,0.951859956,0.951859956,0.944095449,0.951859956
167,167,0.884691849,0.973741794,0.956003428,0.927083333
168,168,0.950323974,0.962800875,0.9521684,0.956521739
169,169,0.875251509,0.951859956,0.930501157,0.911949686
170,170,0.91322314,0.967177243,0.947238501,0.939426142
171,171,0.916317992,0.958424508,0.943806317,0.936898396
172,172,0.943844492,0.956236324,0.947392559,0.95
173,173,0.923890063,0.956236324,0.942449544,0.939784946
174,174,0.843326886,0.95404814,0.923225768,0.895277207
175,175,0.927813163,0.956236324,0.944581415,0.941810345
176,176,0.896341463,0.964989059,0.944594146,0.929399368
177,177,0.847328244,0.971553611,0.94232621,0.905198777
178,178,0.909278351,0.964989059,0.943476395,0.936305732
179,179,0.914583333,0.960612691,0.943105901,0.937033084
180,180,0.902892562,0.956236324,0.932587328,0.92879915
181,181,0.886409736,0.956236324,0.935014434,0.92
182,182,0.913043478,0.964989059,0.9409591,0.938297872
183,183,0.941304348,0.947483589,0.939152185,0.94438386
184,184,0.875,0.964989059,0.938631908,0.917793965
185,185,0.886868687,0.960612691,0.942382062,0.922268908
186,186,0.890243902,0.958424508,0.941977267,0.923076923
187,187,0.878486056,0.964989059,0.940674527,0.919708029
188,188,0.943722944,0.95404814,0.942503198,0.948857454
189,189,0.895705521,0.958424508,0.939428829,0.926004228
190,190,0.953947368,0.951859956,0.947025193,0.952902519
191,191,0.924210526,0.960612691,0.939392795,0.942060086
192,192,0.903092784,0.958424508,0.948903149,0.929936306
193,193,0.901437372,0.960612691,0.947530865,0.930084746
194,194,0.823970037,0.962800875,0.934236838,0.887991927
195,195,0.966442953,0.945295405,0.938693366,0.955752212
196,196,0.922268908,0.960612691,0.952202085,0.941050375
197,197,0.916317992,0.958424508,0.948407595,0.936898396
198,198,0.960264901,0.951859956,0.94579737,0.956043956
199,199,0.92750533,0.951859956,0.941835519,0.939524838
200,200,0.866141732,0.962800875,0.948147787,0.911917098
201,201,0.943722944,0.95404814,0.943826045,0.948857454
202,202,0.907597536,0.967177243,0.951595972,0.936440678
