,epoch,precision,recall,AP,F1
0,0,0.281085154,0.81619256,0.587271338,0.418161435
1,1,0.316029144,0.759299781,0.330034953,0.446302251
2,2,0.387656702,0.879649891,0.520340463,0.53815261
3,3,0.393096836,0.897155361,0.639353019,0.546666667
4,4,0.4397463,0.910284464,0.672676169,0.593014968
5,5,0.483091787,0.875273523,0.704536647,0.622568093
6,6,0.660883281,0.916849015,0.903933815,0.768102658
7,7,0.472385429,0.879649891,0.67031256,0.614678899
8,8,0.697674419,0.919037199,0.904354318,0.793201133
9,9,0.472283814,0.932166302,0.86537386,0.626931567
10,10,0.595774648,0.925601751,0.861465416,0.724935733
11,11,0.355426678,0.938730853,0.859110726,0.515625
12,12,0.631343284,0.925601751,0.911934748,0.750665484
13,13,0.340109461,0.951859956,0.849848284,0.501152074
14,14,0.565789474,0.940919037,0.851557064,0.706655711
15,15,0.668209877,0.947483589,0.926399386,0.783710407
16,16,0.700325733,0.940919037,0.911011186,0.802987862
17,17,0.357050453,0.603938731,0.316725447,0.448780488
18,18,0.556687898,0.956236324,0.914997837,0.703703704
19,19,0.720198675,0.951859956,0.930857345,0.81998115
20,20,0.567741935,0.962800875,0.892072121,0.714285714
21,21,0.429679922,0.969365427,0.858063428,0.595430108
22,22,0.6976,0.95404814,0.931161588,0.805914972
23,23,0.542288557,0.95404814,0.871028824,0.691514671
24,24,0.744827586,0.945295405,0.933220675,0.833172613
25,25,0.712195122,0.958424508,0.940655173,0.817164179
26,26,0.632564841,0.960612691,0.902344612,0.762814944
27,27,0.559493671,0.967177243,0.913293669,0.708901363
28,28,0.658682635,0.962800875,0.920030075,0.782222222
29,29,0.450413223,0.95404814,0.88484486,0.611929825
30,30,0.465263158,0.967177243,0.820408207,0.628287136
31,31,0.57651715,0.956236324,0.874931567,0.719341564
32,32,0.706924316,0.960612691,0.93661791,0.814471243
33,33,0.565384615,0.964989059,0.889015964,0.71301536
34,34,0.6,0.958424508,0.858657605,0.737994945
35,35,0.624821683,0.958424508,0.893832104,0.756476684
36,36,0.756896552,0.960612691,0.946222278,0.846673095
37,37,0.532687651,0.962800875,0.891859064,0.68589244
38,38,0.696629213,0.949671772,0.920641665,0.803703704
39,39,0.6,0.964989059,0.903799489,0.739932886
40,40,0.718032787,0.958424508,0.930218932,0.82099344
41,41,0.786355476,0.958424508,0.934165391,0.863905325
42,42,0.7008,0.958424508,0.9163973,0.80961183
43,43,0.850098619,0.943107221,0.929896012,0.894190871
44,44,0.751724138,0.95404814,0.928878495,0.840887175
45,45,0.722039474,0.960612691,0.88910823,0.824413146
46,46,0.667682927,0.958424508,0.889939563,0.787061995
47,47,0.421755725,0.967177243,0.830637795,0.587375415
48,48,0.717320261,0.960612691,0.936332248,0.821328344
49,49,0.758680556,0.956236324,0.933518069,0.84607938
50,50,0.723684211,0.962800875,0.938180027,0.82629108
51,51,0.523474178,0.975929978,0.867598362,0.681436211
52,52,0.600543478,0.967177243,0.885152681,0.740989103
53,53,0.790235081,0.956236324,0.93719048,0.865346535
54,54,0.759098787,0.958424508,0.923537581,0.847195358
55,55,0.850194553,0.956236324,0.941089175,0.900102987
56,56,0.780530973,0.964989059,0.932932039,0.863013699
57,57,0.520710059,0.962800875,0.819052211,0.675883257
58,58,0.831417625,0.949671772,0.937010225,0.886618999
59,59,0.711290323,0.964989059,0.911699152,0.818941504
60,60,0.447927199,0.969365427,0.83200465,0.612724758
61,61,0.55707196,0.98249453,0.902463914,0.711005542
62,62,0.730449251,0.960612691,0.929597602,0.829867675
63,63,0.81988743,0.956236324,0.931618299,0.882828283
64,64,0.627118644,0.971553611,0.914337413,0.76223176
65,65,0.843629344,0.956236324,0.941414405,0.896410256
66,66,0.807763401,0.956236324,0.927607427,0.875751503
67,67,0.824196597,0.95404814,0.917070664,0.884381339
68,68,0.419047619,0.962800875,0.765567908,0.583941606
69,69,0.750424448,0.967177243,0.940980792,0.845124283
70,70,0.746192893,0.964989059,0.92260778,0.841603053
71,71,0.827977316,0.958424508,0.934405351,0.888438134
72,72,0.774475524,0.969365427,0.925108996,0.861030126
73,73,0.731343284,0.964989059,0.935175545,0.832075472
74,74,0.839388145,0.960612691,0.943535076,0.895918367
75,75,0.825515947,0.962800875,0.947426093,0.888888889
76,76,0.889112903,0.964989059,0.943608374,0.925498426
77,77,0.894628099,0.947483589,0.936227147,0.920297556
78,78,0.594086022,0.967177243,0.84829239,0.736053289
79,79,0.8099631,0.960612691,0.937402331,0.878878879
80,80,0.709003215,0.964989059,0.940483989,0.81742354
81,81,0.925690021,0.95404814,0.940445792,0.939655172
82,82,0.802919708,0.962800875,0.922695692,0.875621891
83,83,0.840304183,0.967177243,0.950970819,0.899287894
84,84,0.69889065,0.964989059,0.91309149,0.810661765
85,85,0.734557596,0.962800875,0.918070298,0.833333333
86,86,0.813084112,0.951859956,0.907710684,0.877016129
87,87,0.777385159,0.962800875,0.921300318,0.860215054
88,88,0.841698842,0.95404814,0.936742712,0.894358974
89,89,0.819366853,0.962800875,0.932722155,0.885311871
90,90,0.79491833,0.958424508,0.927626569,0.869047619
91,91,0.849802372,0.940919037,0.911654062,0.893042575
92,92,0.8477842,0.962800875,0.91804551,0.901639344
93,93,0.744027304,0.95404814,0.897512935,0.836049856
94,94,0.886639676,0.958424508,0.937052652,0.921135647
95,95,0.83976834,0.951859956,0.934531751,0.892307692
96,96,0.869047619,0.958424508,0.938100463,0.911550468
97,97,0.793418647,0.949671772,0.923370744,0.864541833
98,98,0.72923588,0.960612691,0.914101566,0.829084042
99,99,0.831439394,0.960612691,0.945561598,0.891370558
100,100,0.872763419,0.960612691,0.942616854,0.914583333
101,101,0.810150376,0.943107221,0.902316895,0.871587462
102,102,0.908141962,0.951859956,0.941987145,0.929487179
103,103,0.937634409,0.95404814,0.943362413,0.945770065
104,104,0.84139265,0.951859956,0.927735022,0.893223819
105,105,0.861932939,0.956236324,0.929092247,0.906639004
106,106,0.803308824,0.956236324,0.921593951,0.873126873
107,107,0.832061069,0.95404814,0.93238008,0.888888889
108,108,0.783783784,0.951859956,0.926054873,0.859683794
109,109,0.885245902,0.945295405,0.924979857,0.914285714
110,110,0.935622318,0.95404814,0.943646992,0.944745395
111,111,0.895277207,0.95404814,0.939885045,0.923728814
112,112,0.857988166,0.951859956,0.930486302,0.902489627
113,113,0.787387387,0.956236324,0.904586842,0.863636364
114,114,0.923240938,0.947483589,0.933751468,0.935205184
115,115,0.800362976,0.964989059,0.9149822,0.875
116,116,0.834285714,0.958424508,0.917560378,0.892057026
117,117,0.827651515,0.956236324,0.933199597,0.887309645
118,118,0.859683794,0.951859956,0.929447887,0.903426791
119,119,0.824626866,0.967177243,0.920890272,0.890231621
120,120,0.798534799,0.95404814,0.904378803,0.869391825
121,121,0.757264957,0.969365427,0.869477353,0.850287908
122,122,0.788043478,0.951859956,0.894817495,0.862239841
123,123,0.874501992,0.960612691,0.950786413,0.915537018
124,124,0.922105263,0.958424508,0.949014161,0.939914163
125,125,0.900414938,0.949671772,0.934297303,0.924387646
126,126,0.877016129,0.951859956,0.924689863,0.912906611
127,127,0.911949686,0.951859956,0.940655426,0.931477516
128,128,0.895705521,0.958424508,0.944470708,0.926004228
129,129,0.817504655,0.960612691,0.922153541,0.883299799
130,130,0.87250996,0.958424508,0.934952149,0.913451512
131,131,0.853515625,0.956236324,0.919758452,0.901960784
132,132,0.842610365,0.960612691,0.927595768,0.897750511
133,133,0.838709677,0.967177243,0.948700298,0.898373984
134,134,0.897330595,0.956236324,0.939776306,0.925847458
135,135,0.864705882,0.964989059,0.943817146,0.912099276
136,136,0.931623932,0.95404814,0.941570158,0.942702703
137,137,0.902892562,0.956236324,0.935278814,0.92879915
138,138,0.9125,0.958424508,0.93399857,0.934898613
