,epoch,precision,recall,AP,F1
1,1,0.258545681,0.695652174,0.320409341,0.376982329
2,2,0.269094588,0.889632107,0.551998058,0.413203883
3,3,0.25267666,0.789297659,0.311560057,0.382806164
4,4,0.302892796,0.892976589,0.562476292,0.452350699
5,5,0.496538081,0.839464883,0.560720591,0.623990056
6,6,0.287041817,0.929765886,0.593008603,0.438658777
7,7,0.289697909,0.62541806,0.326846888,0.395976707
8,8,0.255949708,0.953177258,0.638262201,0.403539823
9,9,0.603225806,0.93812709,0.806683101,0.734293194
10,10,0.379194631,0.944816054,0.665874109,0.541187739
11,11,0.628089888,0.934782609,0.818541728,0.751344086
12,12,0.493043478,0.948160535,0.780940393,0.648741419
13,13,0.503964758,0.956521739,0.732125361,0.660126947
14,14,0.473251029,0.961538462,0.841703489,0.634307777
15,15,0.58974359,0.961538462,0.908605442,0.731087095
16,16,0.492132867,0.941471572,0.712377591,0.646383467
17,17,0.762758621,0.924749164,0.874728473,0.835978836
18,18,0.508960573,0.949832776,0.734107166,0.66277713
19,19,0.450078003,0.964882943,0.80751543,0.613829787
20,20,0.532118888,0.928093645,0.828587631,0.676416819
21,21,0.568608095,0.963210702,0.862804456,0.715083799
22,22,0.545023697,0.961538462,0.83184819,0.695704779
23,23,0.448249027,0.963210702,0.694487539,0.611789697
24,24,0.473898858,0.971571906,0.775244651,0.637061404
25,25,0.464662876,0.956521739,0.758657275,0.625478403
26,26,0.768096515,0.95819398,0.906125123,0.852678571
27,27,0.727509778,0.933110368,0.864064824,0.817582418
28,28,0.53,0.974916388,0.86185782,0.686690224
29,29,0.520535714,0.974916388,0.890184067,0.678696158
30,30,0.61663067,0.954849498,0.848097443,0.749343832
31,31,0.42994811,0.969899666,0.829510248,0.595788392
32,32,0.541266795,0.943143813,0.782738107,0.687804878
33,33,0.606729758,0.964882943,0.895208361,0.744996772
34,34,0.651428571,0.953177258,0.888850704,0.773930754
35,35,0.681656805,0.963210702,0.874512301,0.798336798
36,36,0.765020027,0.95819398,0.931742953,0.85077951
37,37,0.593306288,0.97826087,0.859734489,0.738636364
38,38,0.53047619,0.931438127,0.724938561,0.675970874
39,39,0.59938208,0.973244147,0.837252784,0.741873805
40,40,0.722636816,0.971571906,0.913139359,0.828815977
41,41,0.734771574,0.968227425,0.911659169,0.835497835
42,42,0.763227513,0.964882943,0.939859314,0.852289513
43,43,0.688311688,0.974916388,0.91881918,0.806920415
44,44,0.711442786,0.956521739,0.919589559,0.815977175
45,45,0.63656148,0.97826087,0.913901282,0.771259064
46,46,0.674768519,0.974916388,0.890194962,0.79753762
47,47,0.721945137,0.968227425,0.941300968,0.827142857
48,48,0.688388626,0.971571906,0.901692382,0.805825243
49,49,0.625937835,0.976588629,0.906731396,0.762900065
50,50,0.84457478,0.963210702,0.930418303,0.9
51,51,0.858858859,0.956521739,0.921382117,0.905063291
52,52,0.677906977,0.974916388,0.891816071,0.799725652
53,53,0.750967742,0.973244147,0.930483711,0.847778587
54,54,0.732572877,0.966555184,0.918641292,0.833453497
55,55,0.789329685,0.964882943,0.921940004,0.868322047
56,56,0.808180536,0.95819398,0.930059829,0.876817138
57,57,0.656917885,0.976588629,0.87889439,0.785474109
58,58,0.783378747,0.961538462,0.92156753,0.863363363
59,59,0.787755102,0.968227425,0.930704673,0.868717179
60,60,0.643015521,0.969899666,0.908169408,0.773333333
61,61,0.741357234,0.968227425,0.91712942,0.839738941
62,62,0.756935271,0.95819398,0.903733554,0.845756458
63,63,0.693803159,0.954849498,0.894400238,0.803659395
