,epoch,precision,recall,AP,F1
0,0,0.483566978,0.428864715,0.310036709,0.408242581
1,1,0.180425803,0.66962861,0.140656753,0.284250489
2,2,0.391129812,0.684418055,0.349304702,0.468869899
3,3,0.283953525,0.715857788,0.289501923,0.402112596
4,4,0.3633915,0.810726726,0.640412931,0.501833179
5,5,0.500280662,0.839152623,0.717581823,0.626504381
6,6,0.476024363,0.890764867,0.773854357,0.618359304
7,7,0.464591615,0.824419125,0.63870575,0.587702644
8,8,0.422522205,0.818172531,0.655588402,0.557104137
9,9,0.52317541,0.911800907,0.834557443,0.647615894
10,10,0.535570683,0.914982583,0.823938313,0.672116282
11,11,0.572879597,0.913802833,0.834169852,0.702384525
12,12,0.52090222,0.91554935,0.84506156,0.663374195
13,13,0.418551504,0.946125555,0.876841247,0.580282631
14,14,0.63041616,0.916162334,0.833669587,0.746848271
15,15,0.518917799,0.943817136,0.888442641,0.669501086
16,16,0.64491711,0.936069705,0.896942712,0.761616296
17,17,0.716849374,0.898976901,0.868405065,0.797496231
18,18,0.633685142,0.951666732,0.906209469,0.756942745
19,19,0.634382913,0.925707364,0.88237442,0.752055058
20,20,0.638308783,0.931555032,0.885595963,0.75752967
21,21,0.605224724,0.938224877,0.894814874,0.735214444
22,22,0.608310235,0.951564568,0.911557557,0.740305011
23,23,0.53817708,0.923705437,0.861590121,0.677830306
24,24,0.579726955,0.95253999,0.870583231,0.720672153
25,25,0.68561386,0.948229645,0.912068801,0.794202797
26,26,0.685305745,0.947100977,0.913873312,0.793811586
27,27,0.609805865,0.944639313,0.910554187,0.741160175
28,28,0.80076102,0.932223963,0.904976483,0.86127696
29,29,0.704704693,0.947254223,0.918058235,0.802218494
30,30,0.701693865,0.946947731,0.917774076,0.806024245
31,31,0.647733319,0.950538063,0.88766704,0.762698902
32,32,0.761357462,0.941355472,0.923327888,0.841651703
33,33,0.703377617,0.946947731,0.926068372,0.807181517
34,34,0.658867677,0.960440667,0.917534714,0.776653478
35,35,0.737857961,0.949051821,0.920920951,0.830099471
36,36,0.66875,0.943459563,0.901420002,0.782598659
37,37,0.659566919,0.931095295,0.888371596,0.771308094
38,38,0.76719807,0.931708278,0.896316234,0.838910465
39,39,0.687379295,0.9415598,0.872946326,0.793058675
40,40,0.783411215,0.931401786,0.899379014,0.850811298
41,41,0.658349024,0.957207908,0.913829456,0.779251528
42,42,0.762228925,0.948229645,0.922942962,0.844289778
43,43,0.73204507,0.94012464,0.90368273,0.82307893
44,44,0.631456323,0.956130322,0.902712134,0.753647196
45,45,0.829099333,0.939251382,0.914059029,0.880507593
46,46,0.694201246,0.948280727,0.906696608,0.795709835
47,47,0.666135074,0.944486067,0.874876389,0.781257958
48,48,0.805714255,0.945767981,0.905001112,0.869995834
49,49,0.692732154,0.952897564,0.920819733,0.793539354
50,50,0.528470078,0.940584378,0.866263417,0.663782173
51,51,0.669241573,0.944894723,0.914579439,0.780709494
52,52,0.806456052,0.945921227,0.923930438,0.87020608
53,53,0.652550388,0.952437826,0.9109898,0.774193548
54,54,0.797649156,0.945716899,0.927069412,0.865194348
55,55,0.749370634,0.95253999,0.911653683,0.836980139
56,56,0.776223275,0.951564568,0.9327696,0.851632758
57,57,0.825556322,0.939302464,0.916462312,0.878350515
58,58,0.824764234,0.943714972,0.924064946,0.878781341
59,59,0.675738607,0.955874912,0.902602703,0.789851541
60,60,0.803144583,0.953668658,0.927721707,0.871290061
61,61,0.750698474,0.956799253,0.93183404,0.84081213
62,62,0.771886504,0.945921227,0.900596694,0.848065173
63,63,0.760906631,0.950333736,0.92308581,0.843220076
64,64,0.712097504,0.951564568,0.926018814,0.808702403
65,65,0.763069092,0.943612808,0.914976382,0.843622043
66,66,0.70820253,0.956952499,0.90927461,0.81243007
67,67,0.824113326,0.943817136,0.916653491,0.878097717
68,68,0.675633682,0.956952499,0.906481963,0.791949009
69,69,0.76547992,0.95136024,0.927602998,0.847001104
70,70,0.824183725,0.946794485,0.912846965,0.880936151
71,71,0.740850163,0.925344925,0.87834698,0.816781044
72,72,0.8392031,0.941661964,0.921754241,0.88689636
73,73,0.825777509,0.946947731,0.924449761,0.880662896
74,74,0.599712564,0.95136024,0.879816006,0.733778156
75,75,0.655783031,0.954695162,0.894741365,0.775663082
76,76,0.688316793,0.95018049,0.916721341,0.79831316
77,77,0.880446937,0.942637386,0.927485628,0.910046904
78,78,0.661713513,0.958132249,0.89106124,0.781788789
79,79,0.863362237,0.9392003,0.914903054,0.899223174
80,80,0.825648209,0.948127481,0.933007574,0.88113675
81,81,0.863882269,0.939251382,0.919538916,0.899349029
82,82,0.792861368,0.950282654,0.903997459,0.864126174
83,83,0.830449379,0.945767981,0.91825128,0.884363262
84,84,0.889592929,0.940431132,0.924110278,0.913496051
85,85,0.849563781,0.940431132,0.921352759,0.892259414
86,86,0.848885127,0.936942963,0.917768351,0.889917714
87,87,0.834199769,0.9527954,0.921793525,0.887599742
88,88,0.807354947,0.957003581,0.928225846,0.875772621
89,89,0.771738293,0.950231572,0.918556541,0.851719825
