,epoch,precision,recall,AP,F1
0,0,0.283948666,0.62402777,0.352143973,0.382829556
1,1,0.182041948,0.611444917,0.20201945,0.278805561
2,2,0.271934034,0.799321011,0.456746615,0.40511685
3,3,0.397305751,0.836840545,0.629928932,0.535721657
4,4,0.435928462,0.798822547,0.678511193,0.563414006
5,5,0.339016824,0.732755833,0.502334898,0.437197967
6,6,0.357959168,0.714891955,0.458326787,0.476378082
7,7,0.49600185,0.908543048,0.837116843,0.641606037
8,8,0.300508742,0.861323669,0.579435479,0.440104521
9,9,0.411814404,0.906333639,0.759744036,0.561964384
10,10,0.433868618,0.900199386,0.717390871,0.572839291
11,11,0.325585295,0.920313089,0.835929183,0.479822711
12,12,0.365201164,0.908179303,0.756023563,0.511181017
13,13,0.440547844,0.925275278,0.825175049,0.592891449
14,14,0.541504391,0.936322322,0.900226673,0.684710456
15,15,0.507257325,0.937135133,0.892115987,0.657687339
16,16,0.660628868,0.906198919,0.862427588,0.761821816
17,17,0.542400334,0.889960662,0.780093756,0.672678275
18,18,0.689289788,0.887841066,0.804078092,0.77322679
19,19,0.7200921,0.944755797,0.904343045,0.816365233
20,20,0.508473398,0.926582062,0.854344526,0.651613501
21,21,0.48535728,0.902588421,0.792953439,0.62050352
22,22,0.721000911,0.919096118,0.874016281,0.80374529
23,23,0.530886034,0.938397011,0.837107412,0.676704932
24,24,0.52476546,0.95431643,0.872242738,0.676800477
25,25,0.404034234,0.911250921,0.798089178,0.559796774
26,26,0.544482976,0.939613982,0.861007524,0.688741275
27,27,0.559128485,0.951024771,0.913493112,0.699069529
28,28,0.584084492,0.941374324,0.901878979,0.719643922
29,29,0.790649731,0.928611845,0.890472534,0.854042471
30,30,0.705407345,0.94678558,0.91102345,0.808456722
31,31,0.500559361,0.946740673,0.87303598,0.654713905
32,32,0.602186116,0.939434355,0.900176901,0.728327948
33,33,0.814761905,0.929559376,0.90626072,0.868379847
34,34,0.629140252,0.940426793,0.896335809,0.750469588
35,35,0.752272993,0.954361337,0.92688633,0.840956363
36,36,0.720961506,0.954361337,0.90884522,0.820285216
37,37,0.677360775,0.930686533,0.903566859,0.783018808
38,38,0.656362103,0.945748235,0.90404477,0.774730975
39,39,0.805737994,0.944576171,0.932367167,0.869048253
40,40,0.510373715,0.935150258,0.853767282,0.659313207
41,41,0.565273759,0.970325663,0.922578876,0.71371807
42,42,0.561715757,0.760306084,0.688214843,0.643200679
43,43,0.815673425,0.935918162,0.919197537,0.871466527
44,44,0.700580527,0.944980331,0.887927814,0.799675517
45,45,0.681908717,0.962974439,0.907359043,0.796710623
46,46,0.792535319,0.945703328,0.909941781,0.8615992
47,47,0.63540999,0.941643764,0.894342475,0.756378834
48,48,0.743710387,0.952151928,0.921785859,0.834775524
49,49,0.804500174,0.947912737,0.925392872,0.86944897
50,50,0.626099814,0.941958111,0.909743779,0.736447804
51,51,0.803454157,0.928971098,0.895252487,0.861178111
52,52,0.74146097,0.947957644,0.92113484,0.832017659
53,53,0.706972852,0.956750373,0.918066703,0.810855608
54,54,0.836655012,0.928746565,0.905432273,0.880258515
55,55,0.636096438,0.95431643,0.885558055,0.762729313
56,56,0.719635897,0.939344542,0.894806389,0.813393663
57,57,0.651711677,0.948047457,0.894995533,0.771703884
58,58,0.640941994,0.956346213,0.916646065,0.765430342
59,59,0.675888292,0.961667655,0.907839248,0.79047888
60,60,0.808965425,0.958690341,0.935065631,0.87702252
61,61,0.714553077,0.953054553,0.895772617,0.816478262
62,62,0.825751773,0.927165849,0.899810567,0.872085452
63,63,0.816118221,0.950122146,0.92702387,0.877976356
64,64,0.887048518,0.949039895,0.937459192,0.916929751
65,65,0.549963695,0.962749906,0.8877147,0.699941757
66,66,0.824244996,0.933843473,0.910751179,0.87446599
67,67,0.735179473,0.954451151,0.910874712,0.828781392
68,68,0.87420175,0.958600528,0.937690792,0.91411888
69,69,0.789947972,0.943538826,0.918630384,0.859826782
70,70,0.878565392,0.927799034,0.908781584,0.902436771
71,71,0.870849654,0.945882955,0.92994596,0.90626448
72,72,0.806070728,0.934112913,0.908555083,0.86509143
73,73,0.879020671,0.947867831,0.933434878,0.912142661
74,74,0.755535427,0.937224947,0.897405953,0.836335724
75,75,0.778813569,0.955713028,0.928462138,0.8564292
76,76,0.788475904,0.953323993,0.928751737,0.862283026
77,77,0.709289701,0.955219055,0.926575626,0.812940951
78,78,0.758516295,0.94718974,0.910753481,0.840592833
79,79,0.84828526,0.954271524,0.932019135,0.898160083
80,80,0.884525332,0.944665984,0.923748128,0.913272657
81,81,0.7647825,0.945204864,0.90703657,0.843225774
82,82,0.798103197,0.951204397,0.922846898,0.865471878
83,83,0.811599948,0.947010113,0.929179503,0.871786142
84,84,0.810810811,0.95760809,0.937560267,0.876780581
85,85,0.805471115,0.951339117,0.913186538,0.871409268
86,86,0.833061778,0.932038225,0.920095175,0.879500776
87,87,0.841853933,0.957563184,0.931759074,0.895828422
88,88,0.860374637,0.941643764,0.915039688,0.898590514
89,89,0.806126192,0.952196835,0.934775239,0.873074506
90,90,0.765715854,0.949219522,0.915633304,0.842868399
91,91,0.781644793,0.941958111,0.881017441,0.852090852
92,92,0.872387742,0.956615653,0.938353309,0.912536905
93,93,0.77027185,0.951204397,0.917515403,0.849795475
94,94,0.809667572,0.930547323,0.886582877,0.862764604
95,95,0.846401699,0.938217384,0.907825256,0.889798217
96,96,0.843984962,0.951204397,0.922975926,0.894292778
97,97,0.87873805,0.951204397,0.921275041,0.913101823
98,98,0.872751241,0.939299635,0.914878396,0.904802087
99,99,0.727049346,0.958780155,0.915355904,0.822852756
100,100,0.845870442,0.951294211,0.916697488,0.894966395
101,101,0.76180602,0.946107489,0.907333473,0.843665768
102,102,0.748495788,0.957697904,0.917429746,0.837632465
103,103,0.752262499,0.965183848,0.932050249,0.845438351
104,104,0.88961344,0.956615653,0.943929628,0.921822226
105,105,0.836111111,0.956436026,0.933673825,0.892135494
106,106,0.871940759,0.951204397,0.931194841,0.909706859
107,107,0.741043483,0.954361337,0.911986073,0.834267889
108,108,0.87166946,0.94705502,0.917287465,0.90755497
109,109,0.824317012,0.949354242,0.914361365,0.877460711
110,110,0.77319829,0.957518277,0.922702317,0.855504838
111,111,0.855871992,0.940651327,0.920989317,0.895722708
112,112,0.823557984,0.950077239,0.92239899,0.882268441
113,113,0.88199635,0.940426793,0.915168016,0.91020479
114,114,0.849725021,0.946875393,0.92531105,0.8953302
115,115,0.832557383,0.953234179,0.927230322,0.888805922
116,116,0.893664794,0.930098256,0.913509172,0.910909735
117,117,0.856244411,0.94020226,0.908732525,0.895928193
118,118,0.876852217,0.887980277,0.869405946,0.881940009
119,119,0.841279707,0.954361337,0.935205828,0.893872722
120,120,0.905350997,0.952151928,0.936981546,0.9279648
121,121,0.861111111,0.941823391,0.918516873,0.898224683
122,122,0.89004758,0.950391586,0.927160976,0.91865821
123,123,0.869981326,0.934247633,0.908580592,0.900804681
124,124,0.852490119,0.951339117,0.933445095,0.898321358
125,125,0.875506718,0.945838049,0.920763967,0.908919037
126,126,0.846883558,0.939254729,0.916228168,0.890675923
127,127,0.76428023,0.962026908,0.919040056,0.849874309
128,128,0.762305747,0.962660092,0.928020202,0.850092075
