,epoch,precision,recall,AP,F1
0,0,0.233891413,0.880854885,0.622410197,0.368497082
1,1,0.275218851,0.858764368,0.632571428,0.415425906
2,2,0.626544768,0.902801724,0.83155132,0.733732837
3,3,0.421014201,0.641343391,0.405509554,0.498384324
4,4,0.596326814,0.919827586,0.838769447,0.723122876
5,5,0.358068108,0.795258621,0.520047,0.48010918
6,6,0.518045961,0.938433908,0.757236379,0.656052681
7,7,0.693303018,0.950215517,0.858637118,0.793985311
8,8,0.456155131,0.952658046,0.814037938,0.61685347
9,9,0.70126014,0.930208333,0.858318815,0.787970049
10,10,0.32877217,0.855531609,0.671993697,0.474073921
11,11,0.767167837,0.934662356,0.90545392,0.840764418
12,12,0.600988602,0.814331897,0.772280851,0.691444532
13,13,0.501376212,0.949497126,0.825426415,0.654429477
14,14,0.599997348,0.740625,0.652128388,0.662901572
15,15,0.665036475,0.955423851,0.899474844,0.784141619
16,16,0.715847447,0.892780172,0.830869047,0.793743221
17,17,0.706220711,0.940876437,0.892712576,0.806299277
18,18,0.382015503,0.885344828,0.772816244,0.439825827
19,19,0.735154081,0.940086207,0.903420427,0.824393708
20,20,0.62142849,0.955603448,0.888481374,0.752449908
21,21,0.699203668,0.932543103,0.855700133,0.798768939
22,22,0.884215177,0.931501437,0.91746208,0.906977214
23,23,0.765876382,0.932650862,0.919022105,0.841009911
24,24,0.726686472,0.95237069,0.923392111,0.821908788
25,25,0.671052516,0.957543103,0.920067561,0.787476333
26,26,0.642722154,0.944001437,0.90867224,0.762702573
27,27,0.432278776,0.950323276,0.798833818,0.55479392
28,28,0.818718425,0.935524425,0.881038547,0.872973131
29,29,0.69788967,0.943929598,0.863608819,0.793733688
30,30,0.797146139,0.927550287,0.864211191,0.855306047
31,31,0.728193579,0.953520115,0.911363506,0.825758265
32,32,0.613090326,0.963182471,0.896084083,0.74737265
33,33,0.765104064,0.924497126,0.89519031,0.8366422
34,34,0.843839467,0.955603448,0.938460159,0.895509546
35,35,0.614215081,0.95704023,0.926512009,0.747613404
36,36,0.44498574,0.942816092,0.468434749,0.459211105
37,37,0.780631731,0.967097701,0.932016954,0.863088507
38,38,0.751081398,0.948994253,0.90019973,0.832289771
39,39,0.849827677,0.947880747,0.91577442,0.892902424
40,40,0.742446176,0.958943966,0.922693603,0.835580596
41,41,0.385221146,0.804418103,0.645680425,0.51657416
42,42,0.744715521,0.959877874,0.927584203,0.836963325
43,43,0.709199322,0.969324713,0.927969074,0.81870246
44,44,0.870590519,0.953376437,0.939461575,0.909383498
45,45,0.7916034,0.954597701,0.924195956,0.865452664
46,46,0.445347679,0.921803161,0.462435028,0.458219556
47,47,0.407540399,0.928340517,0.496074723,0.458330163
48,48,0.006642505,0.951364943,0.007145261,0.013188083
49,49,0.845799301,0.964188218,0.946541152,0.900988546
50,50,0.855565048,0.954418103,0.940373173,0.901067873
51,51,0.786670491,0.956788793,0.930844091,0.863425149
52,52,0.802997306,0.948383621,0.916933674,0.868259728
53,53,0.457556308,0.921156609,0.518534395,0.587448932
54,54,0.665263662,0.959734195,0.88712659,0.784147551
55,55,0.865859613,0.961063218,0.941947721,0.910653856
56,56,0.325780166,0.789583333,0.433282324,0.383647063
57,57,0.596939793,0.93987069,0.86636526,0.723031685
58,58,0.82967033,0.954741379,0.937503774,0.887711124
59,59,0.852918895,0.926329023,0.909388987,0.88731574
60,60,0.761978419,0.94920977,0.887025848,0.8437751
61,61,0.781107974,0.953304598,0.917971357,0.858235764
62,62,0.826214816,0.957758621,0.935433576,0.886806713
63,63,0.172904206,0.928125,0.504612933,0.255471665
64,64,0.837600016,0.96095546,0.938974805,0.89490542
65,65,0.866631517,0.935704023,0.915541378,0.899797457
66,66,0.747278841,0.969468391,0.9345978,0.843730444
67,67,0.753605412,0.95621408,0.912742865,0.830654869
68,68,0.661307081,0.938829023,0.908111243,0.772054645
69,69,0.663330278,0.913469828,0.837274832,0.765391229
70,70,0.006601585,0.91637931,0.008359073,0.013080775
71,71,0.852740804,0.95470546,0.928526045,0.900219587
72,72,0.882499004,0.924892241,0.911211716,0.902257732
73,73,0.502800405,0.934590517,0.863869895,0.653239494
74,74,0.818579376,0.963864943,0.938788094,0.884906731
75,75,0.577974895,0.948132184,0.9176072,0.669303329
76,76,0.835397133,0.952478448,0.927199504,0.890050565
77,77,0.847688417,0.961853448,0.942265321,0.900904892
78,78,0.407281641,0.956681034,0.574829969,0.462584926
79,79,0.898728298,0.951436782,0.93743077,0.924279396
80,80,0.485951438,0.913469828,0.506147652,0.48796167
81,81,0.446158681,0.934482759,0.910687443,0.582143824
82,82,0.780300508,0.958872126,0.920269509,0.860260233
83,83,0.776132384,0.95545977,0.872210456,0.854636286
84,84,0.663467534,0.963936782,0.923002618,0.785358562
85,85,0.728755323,0.389762931,0.373278019,0.506116267
86,86,0.752836747,0.956465517,0.936714821,0.840559441
87,87,0.858480279,0.94058908,0.925834939,0.897191281
88,88,0.747984159,0.954489943,0.898238505,0.837680401
89,89,0.862550236,0.954418103,0.927448342,0.904425612
90,90,0.905512343,0.961817529,0.946875922,0.932216626
91,91,0.884085213,0.958512931,0.945190075,0.91801913
92,92,0.855605477,0.958656609,0.943093963,0.903482765
93,93,0.855243812,0.944181034,0.922957425,0.897280967
94,94,0.872128378,0.95233477,0.923423443,0.909766233
95,95,0.88253732,0.950107759,0.926180706,0.913753692
96,96,0.853002217,0.94608477,0.928333295,0.896024963
97,97,0.864768218,0.932327586,0.908824695,0.89646182
98,98,0.846157205,0.895545977,0.850655284,0.868948887
99,99,0.85724469,0.951293103,0.930403845,0.901288764
100,100,0.732848818,0.939188218,0.900219182,0.820383964
101,101,0.758254686,0.942061782,0.903305746,0.836536925
102,102,0.915549929,0.93128592,0.915606647,0.922938215
103,103,0.83567835,0.952478448,0.937215465,0.890088776
104,104,0.8690156,0.952550287,0.937472551,0.908553126
105,105,0.847665952,0.951508621,0.939064008,0.894338703
106,106,0.895113493,0.955423851,0.942147759,0.924235294
107,107,0.892936451,0.936494253,0.926883225,0.914195006
108,108,0.889490948,0.93983477,0.925866493,0.913930842
109,109,0.7971234,0.776903736,0.726644194,0.7851363
110,110,0.848137611,0.958692529,0.937230541,0.899920391
111,111,0.878483913,0.942744253,0.925500095,0.909344194
112,112,0.88751777,0.94612069,0.929241357,0.915825447
113,113,0.858473437,0.961997126,0.943674407,0.907085828
114,114,0.860639093,0.952442529,0.938855793,0.904198801
115,115,0.686631714,0.942133621,0.925944502,0.792009314
116,116,0.703485353,0.949389368,0.883790019,0.806304369
117,117,0.878900831,0.924102011,0.907199906,0.899531896
118,118,0.921039344,0.951508621,0.93582713,0.935993395
119,119,0.854990188,0.955639368,0.937051792,0.902507764
120,120,0.907063753,0.955531609,0.934828313,0.930605857
121,121,0.491877699,0.419073276,0.397020074,0.389538582
122,122,0.923464205,0.923670977,0.913583297,0.922817661
123,123,0.910530143,0.94920977,0.935980734,0.929449649
124,124,0.807988193,0.941738506,0.903903608,0.869528864
125,125,0.911368401,0.926149425,0.918268106,0.918606886
126,126,0.912878099,0.951257184,0.93669747,0.93164171
127,127,0.809098502,0.956573276,0.92737101,0.876672873
128,128,0.856571658,0.883369253,0.857749792,0.86702212
129,129,0.860677239,0.941774425,0.926016902,0.89927554
130,130,0.893477597,0.956788793,0.93999349,0.923786978
131,131,0.909552846,0.948239943,0.933521003,0.928426916
132,132,0.938983105,0.930998563,0.917507534,0.934545372
133,133,0.918010482,0.94924569,0.93643629,0.933348961
134,134,0.908568558,0.951149425,0.941294411,0.928397674
135,135,0.868135838,0.955639368,0.936939548,0.909730417
136,136,0.859440267,0.951364943,0.932983875,0.903069006
137,137,0.713192615,0.94924569,0.894972892,0.81421251
138,138,0.795478958,0.900431034,0.855715989,0.84102778
139,139,0.875746226,0.953735632,0.935856758,0.912392991
140,140,0.946592699,0.938757184,0.926904725,0.942632479
141,141,0.853864211,0.928017241,0.865197216,0.889280481
142,142,0.911040983,0.940696839,0.92671258,0.925448029
143,143,0.771780303,0.892133621,0.855171533,0.827551446
144,144,0.938742218,0.947126437,0.936291975,0.942858414
145,145,0.888114997,0.93987069,0.912879528,0.913177306
146,146,0.894280728,0.949389368,0.933808907,0.921000254
147,147,0.940030048,0.945905172,0.935192015,0.942769761
148,148,0.919831953,0.94920977,0.938118277,0.934186869
149,149,0.932088781,0.959626437,0.946525772,0.945453872
150,150,0.944692989,0.938541667,0.924880725,0.941220283
151,151,0.873664509,0.950215517,0.92764539,0.910157686
152,152,0.915380775,0.954741379,0.944614114,0.934187244
153,153,0.95006651,0.936566092,0.928219167,0.943233718
154,154,0.815864611,0.948311782,0.915391575,0.877046835
155,155,0.898636533,0.947126437,0.934605155,0.922120249
156,156,0.926315789,0.930172414,0.919512099,0.928104604
157,157,0.887038297,0.957614943,0.94312542,0.920495621
158,158,0.921409283,0.950359195,0.929240969,0.935638136
159,159,0.859044038,0.953340517,0.929000088,0.902400738
160,160,0.925382143,0.94058908,0.927720047,0.932652836
161,161,0.925133003,0.91566092,0.907821846,0.920137912
162,162,0.389129383,0.684734195,0.595869431,0.468787451
163,163,0.901641121,0.953232759,0.916241063,0.926328286
164,164,0.879769556,0.951329023,0.909935086,0.914138043
165,165,0.82432437,0.951257184,0.893510927,0.88162536
166,166,0.908080834,0.929274425,0.908309882,0.91847029
